name,wikipedia_url,wikidata_id
A.NET (A#/A sharp),https://en.wikipedia.org/wiki/A_Sharp_(.NET),Q1049708
A-0 System,https://en.wikipedia.org/wiki/A-0_System,Q277713
A+ (A plus),https://en.wikipedia.org/wiki/A%2B_(programming_language),Q277710
A++,https://en.wikipedia.org/wiki/A%2B%2B,Q4646840
ABAP,https://en.wikipedia.org/wiki/ABAP,Q380523
ABC,https://en.wikipedia.org/wiki/ABC_(programming_language),Q1057802
ABC ALGOL,https://en.wikipedia.org/wiki/ABC_ALGOL,Q605801
ACC,https://en.wikipedia.org/wiki/ACC_(programming_language),Q375171
Accent (Rational Synergy),https://en.wikipedia.org/wiki/Accent_(programming_language),Q972868
Ace DASL (Distributed Application Specification Language),https://en.wikipedia.org/wiki/Distributed_Application_Specification_Language,Q1150963
Action!,https://en.wikipedia.org/wiki/Action!_(programming_language),Q343587
ActionScript,https://en.wikipedia.org/wiki/ActionScript,Q234657
Actor,https://en.wikipedia.org/wiki/Actor_(programming_language),Q4677713
Ada,https://en.wikipedia.org/wiki/Ada_(programming_language),Q154755
Adenine (Haystack),https://en.wikipedia.org/wiki/Adenine_(programming_language),Q5687237
AdvPL,https://en.wikipedia.org/wiki/AdvPL,Q9555609
Agda,https://en.wikipedia.org/wiki/Agda_(theorem_prover),Q20479
Agilent VEE (Keysight VEE),https://en.wikipedia.org/wiki/Agilent_VEE,Q393768
Agora,https://en.wikipedia.org/wiki/Agora_(programming_language),Q4693571
AIMMS,https://en.wikipedia.org/wiki/AIMMS,Q4651947
Aldor,https://en.wikipedia.org/wiki/Aldor,Q1549370
Alef,https://en.wikipedia.org/wiki/Alef_(programming_language),Q1895587
ALF,https://en.wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language,Q4723982
ALGOL 58,https://en.wikipedia.org/wiki/ALGOL_58,Q1094499
ALGOL 60,https://en.wikipedia.org/wiki/ALGOL_60,Q1209759
ALGOL 68,https://en.wikipedia.org/wiki/ALGOL_68,Q2166735
ALGOL W,https://en.wikipedia.org/wiki/ALGOL_W,Q1538458
Alice (Alice ML),https://en.wikipedia.org/wiki/Alice_(programming_language),Q1136926
Alma-0,https://en.wikipedia.org/wiki/Alma-0,Q4733507
AmbientTalk,https://en.wikipedia.org/wiki/AmbientTalk,Q4741415
Amiga E,https://en.wikipedia.org/wiki/Amiga_E,Q471181
AMOS (AMOS BASIC),https://en.wikipedia.org/wiki/AMOS_(programming_language),Q295232
AMPL,https://en.wikipedia.org/wiki/AMPL,Q295250
Analitik,https://en.wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Q4064746
AngelScript,https://en.wikipedia.org/wiki/AngelScript,Q2366
Apache Pig latin,https://en.wikipedia.org/wiki/Apache_Pig,Q7193204
"Apex (Salesforce.com, Inc)",https://en.wikipedia.org/wiki/Apex_(programming_language),Q941127
APL,https://en.wikipedia.org/wiki/APL_(programming_language),Q296187
App Inventor for Android's visual block language (MIT App Inventor),https://en.wikipedia.org/wiki/App_Inventor_for_Android_(programming_language),Q620620
AppleScript,https://en.wikipedia.org/wiki/AppleScript,Q129137
APT,https://en.wikipedia.org/wiki/APT_(programming_language),Q787227
Arc,https://en.wikipedia.org/wiki/Arc_(programming_language),Q2438046
ARexx,https://en.wikipedia.org/wiki/ARexx,Q296959
Argus,https://en.wikipedia.org/wiki/Argus_(programming_language),Q3622471
Assembly language (ASM),https://en.wikipedia.org/wiki/Assembly_language,Q165436
AutoHotkey,https://en.wikipedia.org/wiki/AutoHotkey,Q784816
AutoIt,https://en.wikipedia.org/wiki/AutoIt,Q784845
AutoLISP / Visual LISP,https://en.wikipedia.org/wiki/AutoLISP,Q782397
Averest,https://en.wikipedia.org/wiki/Averest,Q2874223
AWK,https://en.wikipedia.org/wiki/AWK,Q213970
Axum,https://en.wikipedia.org/wiki/Axum_(programming_language),Q4830701
B,https://en.wikipedia.org/wiki/B_(programming_language),Q797302
Babbage,https://en.wikipedia.org/wiki/Babbage_(programming_language),Q4837581
Ballerina,https://en.wikipedia.org/wiki/Ballerina_(programming_language),Q51160183
Bash,https://en.wikipedia.org/wiki/Bash_(Unix_shell),Q189248
BASIC,https://en.wikipedia.org/wiki/BASIC,Q42979
Batch file (Windows/MS-DOS),https://en.wikipedia.org/wiki/Batch_file,Q479833
bc (basic calculator),https://en.wikipedia.org/wiki/Bc_(programming_language),Q300897
BCPL,https://en.wikipedia.org/wiki/BCPL,Q810009
BeanShell,https://en.wikipedia.org/wiki/BeanShell,Q812964
BETA,https://en.wikipedia.org/wiki/BETA_(programming_language),Q830842
BLISS,https://en.wikipedia.org/wiki/BLISS_(programming_language),Q2877155
Blockly,https://en.wikipedia.org/wiki/Blockly,Q18202981
BlooP,https://en.wikipedia.org/wiki/BlooP_and_FlooP,Q4927494
Boo,https://en.wikipedia.org/wiki/Boo_(programming_language),Q892948
Boomerang,https://en.wikipedia.org/wiki/Boomerang_(programming_language),Q4943501
Bosque,https://en.wikipedia.org/wiki/Bosque_(programming_language),Q63243349
C,https://en.wikipedia.org/wiki/C_(programming_language),Q15777
C--,https://en.wikipedia.org/wiki/C--,Q81348
C++,https://en.wikipedia.org/wiki/C%2B%2B,Q2407
C*,https://en.wikipedia.org/wiki/C*,Q5005842
C#,https://en.wikipedia.org/wiki/C_Sharp_(programming_language),Q2370
C/AL,https://en.wikipedia.org/wiki/C/AL,Q208534
Caché ObjectScript,https://en.wikipedia.org/wiki/Cach%C3%A9_ObjectScript,Q5016025
C Shell (csh),https://en.wikipedia.org/wiki/C_Shell,Q1064516
Caml,https://en.wikipedia.org/wiki/Caml,Q1118153
Carbon,https://en.wikipedia.org/wiki/Carbon_(programming_language),Q113157814
Catrobat,https://en.wikipedia.org/wiki/Catrobat,Q45341807
Cayenne (Lennart Augustsson),https://en.wikipedia.org/wiki/Cayenne_(programming_language),Q5055293
CDuce,https://en.wikipedia.org/wiki/CDuce,Q2931220
Cecil,https://en.wikipedia.org/wiki/Cecil_(programming_language),Q7427136
CESIL (Computer Education in Schools Instruction Language),https://en.wikipedia.org/wiki/CESIL,Q5065544
Céu,https://en.wikipedia.org/wiki/C%C3%A9u_(programming_language),Q28457754
Ceylon,https://en.wikipedia.org/wiki/Ceylon_(programming_language),Q93482
CFEngine,https://en.wikipedia.org/wiki/CFEngine,Q505877
Cg (High-Level Shader/Shading Language [HLSL]),https://en.wikipedia.org/wiki/Cg_(programming_language),Q1024657
Ch,https://en.wikipedia.org/wiki/Ch_(computer_programming),Q5065901
Chapel (Cascade High Productivity Language),https://en.wikipedia.org/wiki/Chapel_(programming_language),Q4036051
Charm,https://en.wikipedia.org/wiki/Charm_(language),Q5086385
CHILL,https://en.wikipedia.org/wiki/CHILL,Q642207
CHIP-8,https://en.wikipedia.org/wiki/CHIP-8,Q1023623
ChucK,https://en.wikipedia.org/wiki/ChucK,Q850484
Cilk (also Cilk++ and Cilk plus),https://en.wikipedia.org/wiki/Cilk,Q2569373
Claire,https://en.wikipedia.org/wiki/Claire_(programming_language),Q5125133
Clarion,https://en.wikipedia.org/wiki/Clarion_(programming_language),Q1095608
Clean,https://en.wikipedia.org/wiki/Clean_(programming_language),Q377986
Clipper,https://en.wikipedia.org/wiki/Clipper_(programming_language),Q834358
CLIPS,https://en.wikipedia.org/wiki/CLIPS_(programming_language),Q165372
CLIST,https://en.wikipedia.org/wiki/CLIST,Q579880
Clojure,https://en.wikipedia.org/wiki/Clojure,Q51798
CLU,https://en.wikipedia.org/wiki/CLU_(programming_language),Q775159
CMS-2,https://en.wikipedia.org/wiki/CMS-2_(programming_language),Q5012997
COBOL,https://en.wikipedia.org/wiki/COBOL,Q131140
CobolScript,https://en.wikipedia.org/wiki/CobolScript,Q3681874
Cobra,https://en.wikipedia.org/wiki/Cobra_(programming_language),Q608565
CoffeeScript,https://en.wikipedia.org/wiki/CoffeeScript,Q1106819
ColdFusion,https://en.wikipedia.org/wiki/ColdFusion,Q468446
COMAL,https://en.wikipedia.org/wiki/COMAL,Q1023991
COMIT,https://en.wikipedia.org/wiki/COMIT,Q1024000
Common Intermediate Language,https://en.wikipedia.org/wiki/Common_Intermediate_Language,Q263544
Common Lisp,https://en.wikipedia.org/wiki/Common_Lisp,Q849146
COMPASS,https://en.wikipedia.org/wiki/COMPASS,Q5013363
Component Pascal,https://en.wikipedia.org/wiki/Component_Pascal,Q1121719
COMTRAN,https://en.wikipedia.org/wiki/COMTRAN,Q5013384
Constraint Handling Rules,https://en.wikipedia.org/wiki/Constraint_Handling_Rules,Q5164373
Control Language,https://en.wikipedia.org/wiki/Control_Language,Q263490
Cool,https://en.wikipedia.org/wiki/Cool_(programming_language),Q2904782
Coq,https://en.wikipedia.org/wiki/Coq,Q1131652
Coral 66,https://en.wikipedia.org/wiki/Coral_66,Q4117844
CorVision,https://en.wikipedia.org/wiki/CorVision,Q5169369
COWSEL,https://en.wikipedia.org/wiki/COWSEL,Q5013542
CPL,https://en.wikipedia.org/wiki/CPL_(programming_language),Q2347334
Cryptol,https://en.wikipedia.org/wiki/Cryptol,Q5190950
Crystal,https://en.wikipedia.org/wiki/Crystal_(programming_language),Q21921428
Csound,https://en.wikipedia.org/wiki/Csound,Q259347
Cuneiform,https://en.wikipedia.org/wiki/Cuneiform_(programming_language),Q28452212
Curl,https://en.wikipedia.org/wiki/Curl_(programming_language),Q1144631
Curry,https://en.wikipedia.org/wiki/Curry_(programming_language),Q2368856
Cybil,https://en.wikipedia.org/wiki/Cybil_(programming_language),Q5197880
Cyclone,https://en.wikipedia.org/wiki/Cyclone_(programming_language),Q79598
Cypher Query Language,https://en.wikipedia.org/wiki/Cypher_Query_Language,Q16834355
Cython,https://en.wikipedia.org/wiki/Cython,Q975594
CEEMAC,https://en.wikipedia.org/wiki/CEEMAC,Q5010234
D,https://en.wikipedia.org/wiki/D_(programming_language),Q319268
Dart,https://en.wikipedia.org/wiki/Dart_(programming_language),Q406009
Darwin,https://en.wikipedia.org/wiki/Darwin_(programming_language),Q48987595
DataFlex,https://en.wikipedia.org/wiki/DataFlex,Q2391203
Datalog,https://en.wikipedia.org/wiki/Datalog,Q1172264
DATATRIEVE,https://en.wikipedia.org/wiki/DATATRIEVE,Q5204332
dBase,https://en.wikipedia.org/wiki/DBase,Q300971
dc,https://en.wikipedia.org/wiki/Dc_(computer_program),Q344670
DCL (DIGITAL Command Language),https://en.wikipedia.org/wiki/DIGITAL_Command_Language,Q427002
Delphi,https://en.wikipedia.org/wiki/Delphi_(software),Q487378
DIBOL,https://en.wikipedia.org/wiki/DIBOL,Q5205093
DinkC,https://en.wikipedia.org/wiki/Dink_Smallwood#Modification,
Dog,https://en.wikipedia.org/wiki/Dog_(programming_language),Q7451753
Draco,https://en.wikipedia.org/wiki/Draco_(programming_language),Q5304638
DRAKON,https://en.wikipedia.org/wiki/DRAKON,Q2671999
Dylan,https://en.wikipedia.org/wiki/Dylan_(programming_language),Q1268744
DYNAMO,https://en.wikipedia.org/wiki/DYNAMO_(programming_language),Q5206860
DAX (Data Analysis Expressions),https://en.wikipedia.org/wiki/Data_analysis_expressions,Q5227236
E,https://en.wikipedia.org/wiki/E_(programming_language),Q2658244
Ease,https://en.wikipedia.org/wiki/Ease_(programming_language),Q5327483
Easy PL/I,https://en.wikipedia.org/wiki/PL/I,Q9893
EASYTRIEVE PLUS,https://en.wikipedia.org/wiki/Easytrieve,Q1278381
eC,https://en.wikipedia.org/wiki/EC_(programming_language),Q22095795
ECMAScript,https://en.wikipedia.org/wiki/ECMAScript,Q259138
Edinburgh IMP,https://en.wikipedia.org/wiki/Edinburgh_IMP,Q5338206
EGL,https://en.wikipedia.org/wiki/EGL_(programming_language),Q464338
Eiffel,https://en.wikipedia.org/wiki/Eiffel_(programming_language),Q732089
ELAN,https://en.wikipedia.org/wiki/ELAN_(programming_language),Q1275046
Elixir,https://en.wikipedia.org/wiki/Elixir_(programming_language),Q5362035
Elm,https://en.wikipedia.org/wiki/Elm_(programming_language),Q5366250
Emacs Lisp,https://en.wikipedia.org/wiki/Emacs_Lisp,Q1334586
Emerald,https://en.wikipedia.org/wiki/Emerald_(programming_language),Q5370400
Epigram,https://en.wikipedia.org/wiki/Epigram_(programming_language),Q5382927
EPL (Easy Programming Language),https://en.wikipedia.org/wiki/Easy_Programming_Language,Q11088328
Erlang,https://en.wikipedia.org/wiki/Erlang_(programming_language),Q334879
es,https://en.wikipedia.org/wiki/Es_(Unix_shell),Q262824
Escher,https://en.wikipedia.org/wiki/Escher_(programming_language),Q5397186
ESPOL,https://en.wikipedia.org/wiki/Executive_Systems_Problem_Oriented_Language,Q1275955
Esterel,https://en.wikipedia.org/wiki/Esterel,Q486926
Etoys,https://en.wikipedia.org/wiki/Etoys_(programming_language),Q1044290
Euclid,https://en.wikipedia.org/wiki/Euclid_(programming_language),Q5406088
Euler,https://en.wikipedia.org/wiki/Euler_(programming_language),Q907880
Euphoria,https://en.wikipedia.org/wiki/Euphoria_(programming_language),Q1374139
EusLisp Robot Programming Language,https://en.wikipedia.org/wiki/EusLisp_Robot_Programming_Language,Q5414185
CMS EXEC,https://en.wikipedia.org/wiki/CMS_EXEC,Q5013011
EXEC 2,https://en.wikipedia.org/wiki/EXEC_2,Q5324679
Executable UML,https://en.wikipedia.org/wiki/Executable_UML,Q5419762
Ezhil,https://en.wikipedia.org/wiki/Ezhil_(programming_language),Q12975625
F,https://en.wikipedia.org/wiki/F_(programming_language),Q5427464
F# (F sharp),https://en.wikipedia.org/wiki/F_Sharp_(programming_language),Q648619
F*,https://en.wikipedia.org/wiki/F*_(programming_language),Q5423569
Factor,https://en.wikipedia.org/wiki/Factor_(programming_language),Q1391724
Fantom,https://en.wikipedia.org/wiki/Fantom_(programming_language),Q2699404
FAUST,https://en.wikipedia.org/wiki/FAUST_(programming_language),Q1398550
FFP,https://en.wikipedia.org/wiki/FFP_(programming_language),Q1474061
fish,https://en.wikipedia.org/wiki/Friendly_interactive_shell,Q307263
Fjölnir,https://en.wikipedia.org/wiki/Fj%C3%B6lnir_(programming_language),Q3481158
FL,https://en.wikipedia.org/wiki/FL_(programming_language),Q5426589
FlagShip,https://en.wikipedia.org/wiki/FlagShip,Q163565
Flavors,https://en.wikipedia.org/wiki/Flavors_(programming_language),Q1427564
Flex,https://en.wikipedia.org/wiki/Flex_(language),Q8563758
Flix,https://en.wikipedia.org/wiki/Flix_(programming_language),Q104901822
FlooP,https://en.wikipedia.org/wiki/BlooP_and_FlooP,Q4927494
FLOW-MATIC (B0),https://en.wikipedia.org/wiki/FLOW-MATIC,Q1389173
FOCAL (Formulating On-Line Calculations in Algebraic Language/FOrmula CALculator),https://en.wikipedia.org/wiki/FOCAL_(programming_language),Q1966202
FOCUS,https://en.wikipedia.org/wiki/FOCUS,Q5426833
FOIL,https://en.wikipedia.org/wiki/FOIL_(programming_language),Q5426845
FORMAC (FORMula MAnipulation Compiler),https://en.wikipedia.org/wiki/FORMAC_(programming_language),Q5426889
@Formula,https://en.wikipedia.org/wiki/Formula_language,Q5470342
Forth,https://en.wikipedia.org/wiki/Forth_(programming_language),Q275472
Fortran,https://en.wikipedia.org/wiki/Fortran,Q83303
Fortress,https://en.wikipedia.org/wiki/Fortress_(programming_language),Q1439015
FP,https://en.wikipedia.org/wiki/FP_(programming_language),Q1474061
FoxBase/FoxPro,https://en.wikipedia.org/wiki/FoxPro_(programming_language),Q2507721
Franz Lisp,https://en.wikipedia.org/wiki/Franz_Lisp,Q5492884
Futhark,https://en.wikipedia.org/wiki/Futhark_(programming_language),Q51159967
F-Script,https://en.wikipedia.org/wiki/F-Script_(programming_language),Q5423621
Game Maker Language,https://en.wikipedia.org/wiki/Game_Maker_Language,Q1807379
GameMonkey Script,https://en.wikipedia.org/wiki/GameMonkey_Script,Q4039236
GAMS (General Algebraic Modeling System),https://en.wikipedia.org/wiki/General_Algebraic_Modeling_System,Q646446
GAP,https://en.wikipedia.org/wiki/GAP_computer_algebra_system,Q677161
G-code,https://en.wikipedia.org/wiki/G-code,Q620464
GDScript (Godot),https://en.wikipedia.org/wiki/Godot_(game_engine),Q16972633
Genie,https://en.wikipedia.org/wiki/Genie_(programming_language),Q1106293
GDL (Geometric Description Language),https://en.wikipedia.org/wiki/Geometric_Description_Language,Q519163
GEORGE,https://en.wikipedia.org/wiki/GEORGE_(programming_language),Q5513190
GLSL (OpenGL Shading Language),https://en.wikipedia.org/wiki/OpenGL_Shading_Language,Q779819
GNU E,https://en.wikipedia.org/wiki/GNU_E,Q5514022
GNU Guile (GNU Ubiquitous Intelligent Language for Extensions),https://en.wikipedia.org/wiki/GNU_Guile,Q1486208
Go,https://en.wikipedia.org/wiki/Go_(programming_language),Q37227
Go!,https://en.wikipedia.org/wiki/Go!_(programming_language),Q3109515
GOAL (Game Oriented Assembly Lisp),https://en.wikipedia.org/wiki/Game_Oriented_Assembly_Lisp,Q5519874
Gödel,https://en.wikipedia.org/wiki/G%C3%B6del_(programming_language),Q3294091
Golo,https://en.wikipedia.org/wiki/Golo_(programming_language),Q22681958
GOM (Good Old Mad),https://en.wikipedia.org/wiki/MAD_(programming_language),Q4117854
Google Apps Script,https://en.wikipedia.org/wiki/Google_Apps_Script,Q5583799
Gosu,https://en.wikipedia.org/wiki/Gosu_(programming_language),Q5587589
GOTRAN (IBM 1620),https://en.wikipedia.org/wiki/IBM_1620#GOTRAN,
GPSS (General Purpose Simulation System),https://en.wikipedia.org/wiki/GPSS,Q1486554
GraphTalk (Computer Sciences Corporation),https://en.wikipedia.org/wiki/Computer_Sciences_Corporation,Q1122329
GRASS,https://en.wikipedia.org/wiki/GRASS_(programming_language),Q3756259
Grasshopper,https://en.wikipedia.org/wiki/Grasshopper_3D,Q5597529
Groovy (Apache Groovy),https://en.wikipedia.org/wiki/Apache_Groovy,Q504453
Hack,https://en.wikipedia.org/wiki/Hack_(programming_language),Q15971618
HAGGIS,https://en.wikipedia.org/wiki/HAGGIS,Q28404924
HAL/S,https://en.wikipedia.org/wiki/HAL/S,Q9956
Halide (programming language),https://en.wikipedia.org/wiki/Halide_(programming_language),Q17020459
Hamilton C shell,https://en.wikipedia.org/wiki/Hamilton_C_shell,Q5644861
Harbour,https://en.wikipedia.org/wiki/Harbour_(software),Q2544816
Hartmann pipelines,https://en.wikipedia.org/wiki/Hartmann_pipeline,Q5675045
Haskell,https://en.wikipedia.org/wiki/Haskell_(programming_language),Q34010
Haxe,https://en.wikipedia.org/wiki/Haxe,Q285886
Hermes,https://en.wikipedia.org/wiki/Hermes_(programming_language),Q16989736
High Level Assembly (HLA),https://en.wikipedia.org/wiki/High_Level_Assembly,Q2630324
HLSL,https://en.wikipedia.org/wiki/High_Level_Shader_Language,Q559519
Hollywood,https://en.wikipedia.org/wiki/Hollywood_(programming_language),Q1571870
HolyC (TempleOS),https://en.wikipedia.org/wiki/TempleOS,Q19961543
Hop,https://en.wikipedia.org/wiki/Hop_(software),Q3140351
Hopscotch,https://en.wikipedia.org/wiki/Hopscotch_(programming_language),Q17091945
Hope,https://en.wikipedia.org/wiki/Hope_(programming_language),Q4040754
Hume,https://en.wikipedia.org/wiki/Hume_(language),Q5940583
HyperTalk,https://en.wikipedia.org/wiki/HyperTalk,Q58329
Hy,https://en.wikipedia.org/wiki/Hy,Q22661291
Io,https://en.wikipedia.org/wiki/Io_(programming_language),Q756175
Icon,https://en.wikipedia.org/wiki/Icon_(programming_language),Q1156474
IBM Basic assembly language,https://en.wikipedia.org/wiki/IBM_Basic_assembly_language,Q5968762
IBM HAScript,https://en.wikipedia.org/wiki/IBM_HAScript,Q5968837
IBM Informix-4GL,https://en.wikipedia.org/wiki/IBM_Informix-4GL,Q2816938
IBM RPG,https://en.wikipedia.org/wiki/IBM_RPG,Q840543
IDL,https://en.wikipedia.org/wiki/IDL_(programming_language),Q1665857
Idris,https://en.wikipedia.org/wiki/Idris_(programming_language),Q15408477
Inform,https://en.wikipedia.org/wiki/Inform_(programming_language),Q539268
ISLISP,https://en.wikipedia.org/wiki/ISLISP,Q5974027
J,https://en.wikipedia.org/wiki/J_(programming_language),Q383994
J# (J sharp),https://en.wikipedia.org/wiki/J_Sharp,Q1160312
J++ (J plus plus),https://en.wikipedia.org/wiki/Visual_J%2B%2B,Q973097
JADE,https://en.wikipedia.org/wiki/JADE_(programming_language),Q6107617
Jai,https://en.wikipedia.org/wiki/Jai_(programming_language),Q1154944
JAL,https://en.wikipedia.org/wiki/JAL_(compiler),Q2005972
Janus (concurrent constraint programming language),https://en.wikipedia.org/wiki/Janus_(concurrent_constraint_programming_language),Q6155940
Janus (time-reversible computing programming language),https://en.wikipedia.org/wiki/Janus_(time-reversible_computing_programming_language),Q25345964
JASS,https://en.wikipedia.org/wiki/JASS_(scripting_language),Q1649380
Java,https://en.wikipedia.org/wiki/Java_(programming_language),Q251
JavaFX Script,https://en.wikipedia.org/wiki/JavaFX_Script,Q609804
JavaScript,https://en.wikipedia.org/wiki/JavaScript,Q2005
Jess,https://en.wikipedia.org/wiki/Jess_(programming_language),Q2259392
JCL,https://en.wikipedia.org/wiki/Job_Control_Language,Q1505372
JEAN,https://en.wikipedia.org/wiki/JEAN,Q6108047
Join Java,https://en.wikipedia.org/wiki/Join_Java,Q6268991
JOSS,https://en.wikipedia.org/wiki/JOSS,Q974083
Joule,https://en.wikipedia.org/wiki/Joule_(programming_language),Q6294583
JOVIAL,https://en.wikipedia.org/wiki/JOVIAL,Q1277803
Joy,https://en.wikipedia.org/wiki/Joy_(programming_language),Q1265107
JScript,https://en.wikipedia.org/wiki/JScript,Q553514
JScript .NET,https://en.wikipedia.org/wiki/JScript_.NET,Q1417175
Julia,https://en.wikipedia.org/wiki/Julia_(programming_language),Q2613697
Jython,https://en.wikipedia.org/wiki/Jython,Q1053999
K,https://en.wikipedia.org/wiki/K_(programming_language),Q4042031
Kaleidoscope,https://en.wikipedia.org/wiki/Kaleidoscope_(programming_language),Q6351981
Karel,https://en.wikipedia.org/wiki/Karel_(programming_language),Q204693
KEE,https://en.wikipedia.org/wiki/IntelliCorp_(Software),Q6043771
Kixtart,https://en.wikipedia.org/wiki/KiXtart,Q1477376
Klerer-May System,https://en.wikipedia.org/wiki/Klerer-May_System,Q6420637
KIF (Knowledge Interchange Format),https://en.wikipedia.org/wiki/Knowledge_Interchange_Format,Q354163
Kojo,https://en.wikipedia.org/wiki/Kojo_(programming_language),Q6426496
Kotlin,https://en.wikipedia.org/wiki/Kotlin_(programming_language),Q3816639
KRC,https://en.wikipedia.org/wiki/Kent_Recursive_Calculator,Q375533
KRL,https://en.wikipedia.org/wiki/KRL_(programming_language),Q6336852
KUKA Robot Language,https://en.wikipedia.org/wiki/KUKA_Robot_Language,Q25245640
KRYPTON,https://en.wikipedia.org/wiki/KRYPTON,Q680907
KornShell (ksh),https://en.wikipedia.org/wiki/KornShell,Q204222
Kodu,https://en.wikipedia.org/wiki/Kodu_Game_Lab,Q3496255
Kv (Kivy),https://en.wikipedia.org/wiki/Kivy_(framework)#Kv_language,
LabVIEW,https://en.wikipedia.org/wiki/LabVIEW,Q746261
Ladder,https://en.wikipedia.org/wiki/Ladder_logic,Q1411875
LANSA,https://en.wikipedia.org/wiki/LANSA_(development_environment),Q6457039
Lasso,https://en.wikipedia.org/wiki/Lasso_(programming_language),Q3218363
Lava,https://en.wikipedia.org/wiki/Lava_(programming_language),Q6502171
LC-3,https://en.wikipedia.org/wiki/Little_Computer_3,Q6457333
Lean,https://en.wikipedia.org/wiki/Lean_(proof_assistant),Q6509476
Legoscript,https://en.wikipedia.org/wiki/Legoscript,Q10853917
LIL,https://en.wikipedia.org/wiki/Little_Implementation_Language,Q6650398
LilyPond,https://en.wikipedia.org/wiki/LilyPond,Q195946
Limbo,https://en.wikipedia.org/wiki/Limbo_(programming_language),Q544927
Limnor,https://en.wikipedia.org/wiki/Limnor,Q6549809
LINC,https://en.wikipedia.org/wiki/LINC_4GL,Q6458741
Lingo,https://en.wikipedia.org/wiki/Lingo_(programming_language),Q664867
LINQ,https://en.wikipedia.org/wiki/LINQ,Q595637
LIS,https://en.wikipedia.org/wiki/LIS_(programming_language),Q6458817
LISA,https://en.wikipedia.org/wiki/Language_for_Instruction_Set_Architecture,Q6458803
Language H,https://en.wikipedia.org/wiki/Language_H,Q96386891
Lisp,https://en.wikipedia.org/wiki/Lisp_(programming_language),Q132874
Lite-C,https://en.wikipedia.org/wiki/Lite-C,Q1865057
Lithe,https://en.wikipedia.org/wiki/Lithe_(programming_language),Q6647840
Little b,https://en.wikipedia.org/wiki/Little_b_(programming_language),Q6652643
LLL,https://en.wikipedia.org/wiki/Ethereum#Contract_source_code,
Logo,https://en.wikipedia.org/wiki/Logo_(programming_language),Q201436
Logtalk,https://en.wikipedia.org/wiki/Logtalk,Q3258085
LotusScript,https://en.wikipedia.org/wiki/LotusScript,Q3260092
LPC,https://en.wikipedia.org/wiki/LPC_(programming_language),Q1798284
LSE,https://en.wikipedia.org/wiki/LSE_(programming_language),Q3206154
